,author_display_name,author_channel_id,comment,comment_last_updated,clean_comment
130,Silent JL,UCfKbZaCLxHkWY9qb772XYAw,I found this masterpiece on Spotify yesterday and it really hits differenttttt😣✊🏻,2021-09-29 08:50:38+00:00,found masterpiece spotify yesterday really hits differenttttt😣✊🏻
131,Michael,UCnb__S1a49sg6LkihEvPj-A,I LOVE YOU RITO 1822 777 JACKPOT BABE THATS WHAT I GOT WHEN GOD SENT FRANK DOWN MY ROAD IF IT WEREN'T FOR FRANK MY HAPPINESS OF MY FAMILY WOULD NOT EXIST. I LOVE AS WELL FRANK GOD BLESS YOU MY BEST FRIEND AND BROTHER IN LAW.,2021-09-17 03:19:22+00:00,love rito 1822 777 jackpot babe thats got god sent frank road frank happiness family would exist love well frank god bless best friend brother law
132,Alexis Day,UCypVERwpx6wLHtSzag6Q6EA,I absolutely love this song!!! ❤🧡💛💚💙💜🤎🖤🤍,2021-09-16 04:41:12+00:00,absolutely love song ❤🧡💛💚💙💜🤎🖤🤍
133,miyadraws,UCPuZYuzurqCiXl9aLKEBzPg,"I heard this song on Apple Radio for the first time last night and my face made this dumb 8D expression because I was holding my cat, who is named Honey Bee.",2021-09-11 15:55:38+00:00,heard song apple radio first time last night face made dumb 8d expression holding cat named honey bee
134,Daniel Shimanovich,UCV9OU8FpWxAilnMsaOiia0Q,Love the song and the cinematogrophy!!!,2021-09-09 22:11:46+00:00,love song cinematogrophy
135,kaji,UCqpuoUv8h63rqv7fj3ZbM0w,this song sounds so good 😭❤️,2021-09-06 12:46:16+00:00,song sounds good 😭❤️
136,Follower,UC5vIWPeF-pRRYfgdRkliE-Q,Okay why does this song make me so happy,2021-09-04 01:55:24+00:00,okay song make happy
137,Pepsi65,UCwcqcqij7vWhsUlHmGPrmCA,Beautiful,2021-09-01 17:22:21+00:00,beautiful
138,DangerousCurvs27,UCOKOkLP6c86h7V-GAQ_AzBw,the keepers gotta keep his queen!!! lol cute video!,2021-08-30 00:53:52+00:00,keepers gotta keep queen lol cute video
139,lostinthefire,UCanpg56vJsiRtJ9yfGpOzKQ,My gosh I love this song,2021-08-28 21:45:13+00:00,gosh love song
140,Miya みや,UCwRz1FfvhcefdlRhHAURwnw,❤️,2021-08-20 09:28:04+00:00,❤️
141,herme,UCe5uVRxvDcjQsdIibBt5Guw,I can't believe the official video has less views than one with lyrics,2021-08-13 02:32:30+00:00,believe official video less views one lyrics
142,khiram,UCB371kRQMeLLN7AdpWbGDhg,Wedding song...,2021-08-03 08:54:32+00:00,wedding song
143,sol cutta,UCtjGxZy9gHPfyYnrZ0cVVjA,Adore this track. Beautifully hauntingly majesty.,2021-07-30 17:06:02+00:00,adore track beautifully hauntingly majesty
144,Md Faysal Haque,UCog8pM6F9Gyt5RCTNDind1A,অনেক সুন্দর গান,2021-07-30 16:59:30+00:00,অনেক সুন্দর গান
145,Alixter,UCYGxvcNDdKCZ6ISQ3zwH61A,i Lovethissong,2021-07-29 20:40:14+00:00,lovethissong
146,Linda Engbrocks,UCjA4lMa2SSjWvSEOmMMlgXw,I like this Song so much ❤️,2021-07-26 05:56:43+00:00,like song much ❤️
147,Prakash Bhusal,UCYVCR1tfqNEWrtMO05POg0Q,Hey Honeybee...,2021-07-25 16:59:16+00:00,hey honeybee
148,Tina J Booth,UCW7a2-X3mEGST1NzmKYNu3Q,When you get back to what you know it's like coming home dropping your bags at the door taking your tired feet out of those stinky shoes an running for your bed to do a flop!! HOME is where your heart is.💋🌻🤙,2021-07-19 20:59:56+00:00,get back know like coming home dropping bags door taking tired feet stinky shoes running bed flop home heart is💋🌻🤙
149,Daniel Luis,UCq7Ew2rMC-C7ehTxYbXo3dw,Blind melon no rain vibes.... Maybe it's just the bee costume 😂,2021-07-17 20:48:07+00:00,blind melon rain vibes maybe bee costume 😂
150,Vaishnavi Sah,UCBDC5CJTeQbMaP5LyOyPu-A,❤❤🥺,2021-07-17 15:14:08+00:00,❤❤🥺
151,pranav sarvaiya,UCuh4DT8WXoCY9QNAqkbqcNQ,My honeybee❤,2021-07-13 09:46:44+00:00,honeybee❤
152,Aytan Muñoz,UC3qeJY1biRPiuiUO9eYVC1g,"Ñwñ
ja0aq



Q",2021-07-10 01:25:18+00:00,ñwñ ja0aq q
153,LexTV,UCYIP6vN5aOyBmnqkGTstsAg,I gotta get this to my ex somehow,2021-07-07 01:43:20+00:00,gotta get ex somehow
154,CriticalHoagieRoll,UCBt0kzair-nNe4oICiNqItw,The vocal riff in the middle bit that goes C# B A C# B is SO familiar to me and I cannot figure it out please help where else is that sequence in other songs?,2021-07-06 20:39:36+00:00,vocal riff middle bit goes c b c b familiar cannot figure please help else sequence songs
155,yokai rofl,UCs7anbn9lyu-8HVj_T8tgEA,Wow! Rkane fan is here💕,2021-07-03 15:10:24+00:00,wow rkane fan here💕
156,Des Farrell,UC-rweYPs_8YQLjI3v-TD4tQ,This song is beautiful and amazing,2021-06-30 12:04:47+00:00,song beautiful amazing
157,DTW,UCR4ik_02KsMZL00JLwbVU9Q,Loveee this song❤️,2021-06-27 03:39:27+00:00,loveee song❤️
158,Rockin' Mama,UCcjvPkLHfS3wwkZfivWBBWA,This song spews all things beautiful,2021-06-21 05:29:00+00:00,song spews things beautiful
159,Union Unicorn,UCyStFMfKRJVzoTVK6GQ2CJg,I love this song. Reminds me of my hopeless crush on my friend. 🐝🖤✨,2021-06-18 16:32:39+00:00,love song reminds hopeless crush friend 🐝🖤✨
160,Doctor Choco Pie 🇵🇸,UCiAOx33H_Po5k29rFDemVVw,21:19 - 17.06.2021,2021-06-17 18:19:28+00:00,2119  17062021
161,Hazel P,UCJL5d2E2aYmbmViHT4Qqyuw,"Man, I found a great song again 💜",2021-06-15 03:08:53+00:00,man found great song 💜
162,samuel ochoa,UCnRCJDtp5epm4SgVGVmKFTA,"This was supposed to be my weeding song but "" That silly ring, it wasn't meant to be""

This song represents the best feeling I ever had for a person and I'm a truly grateful for that experience. She will still be my honeybee 🐝 always 🙏🏾",2021-06-08 17:13:50+00:00,supposed weeding song  silly ring meant be song represents best feeling ever person truly grateful experience still honeybee 🐝 always 🙏🏾
163,💋Love Iver was here as herself💋,UCjSFItthnbmRjSdpZZNA2fw,"Wahoooooo
Woot woot 
Energy 
Energy 
Energy 
My jam of all jams 
Yum yum cum cum calm me Bon Iver 
Bring Justin Vernon with ya cause I love that guy 2 
Va va for both of yous",2021-06-07 22:24:14+00:00,wahoooooo woot woot energy energy energy jam jams yum yum cum cum calm bon iver bring justin vernon ya cause love guy 2 va va yous
164,💋Love Iver was here as herself💋,UCjSFItthnbmRjSdpZZNA2fw,"I’ve got a thing a ma chig in Mentor Ohio 2 eat 
So I’m not gathering any ghosts 
I’m getting the living 
The living ghosts passed over are with us no matter what so sorry YouTube no playlist needed lolll 
Love you Electronics and apps and social media whether I’m on those apps or not 
I love feeling supported in anyway possible 
xoxoxo 
Hello World
Heyoka Madness",2021-06-07 22:23:03+00:00,got thing chig mentor ohio 2 eat gathering ghosts getting living living ghosts passed us matter sorry youtube playlist needed lolll love electronics apps social media whether apps love feeling supported anyway possible xoxoxo hello world heyoka madness
165,💋Love Iver was here as herself💋,UCjSFItthnbmRjSdpZZNA2fw,"🎂emoji for video Gods&Goddesses
No real cake 
I did not lie but I’m done feeding YouTube😊
Bon Iver voice I’ll find ya 
I don’t know how but somehow I’ll figure it out 
And if I never meat you well we went so many years and both managed just fine 
So I guess it may not have been meant to be 
What a shame that would bee 
I love you like no other I’ve ever been with 
Hey it’s like I had no one before you anyways Bon Iver 
Where’s my son 
Hey Bon Iver you are the extra sun I needed for sure 
I love it!",2021-06-07 22:20:53+00:00,🎂emoji video godsgoddesses real cake lie done feeding youtube😊 bon iver voice find ya know somehow figure never meat well went many years managed fine guess may meant shame would bee love like ever hey like one anyways bon iver son hey bon iver extra sun needed sure love it
166,RETRO,UCUVn8uvCcKhEJVkhpepMmug,"PT-BR: Meu spotify aleatoriamente me mandou para essa musica, nunca pensei que a sorte ia me levar a uma joia dessas",2021-06-07 02:38:18+00:00,ptbr meu spotify aleatoriamente mandou para essa musica nunca pensei que sorte ia levar uma joia dessas
167,Taiana Liu,UC0pavPAhLOvfn85k2Ms1S8Q,Meu deus,2021-06-02 13:47:12+00:00,meu deus
168,Cecylia Trump,UCxweXbhljTDyIfQQpj9kOfQ,"Speechless. This; this is my love story. If I could have a wedding.. it would be this video.. nothing else, this is our love story. Absolutely takes my breath away. Wow. I feel understood, for once. Thank you. So much!",2021-06-02 07:12:07+00:00,speechless this love story could wedding would video nothing else love story absolutely takes breath away wow feel understood once thank you much
169,Des Lamb,UCf5XMhEV1T-aq_-xXvlP5KQ,Top five best damn love songs I've ever heard.This is definitely my number 3,2021-05-31 15:17:59+00:00,top five best damn love songs ever heardthis definitely number 3
170,Lordy Alcaraz,UC9JzV6HSe18VavwzAfMmBig,until now it's still my fave ☺️💗,2021-05-26 15:20:22+00:00,still fave ☺️💗
171,MX1,UCbEFD4k_l71mPycv9uEn18A,🤔plant flowers 🌱🍀🙏🏼🌼🌸🌻👍🏽🐛🎩☃️🦅🐣🐝🐝🐝🐝🐝🤗,2021-05-23 19:18:43+00:00,🤔plant flowers 🌱🍀🙏🏼🌼🌸🌻👍🏽🐛🎩☃️🦅🐣🐝🐝🐝🐝🐝🤗
172,Leinard Asis,UCOB7CvH5Ke6eUgFoihAb8DA,"I just wanna dance with someone playing this song, it's so good!",2021-05-23 07:57:38+00:00,wanna dance someone playing song good
173,Glenn Gilbert Billdrianus,UCL4XqN3eJqfedBvfk_W0asg,Lovely song,2021-05-22 04:29:08+00:00,lovely song
174,Ellie Martyle,UC372AKkDcxCXFge9abknVIQ,This is my fave song alongside 1000x by Jarryd James,2021-05-19 12:08:47+00:00,fave song alongside 1000x jarryd james
175,💋Love Iver was here as herself💋,UCjSFItthnbmRjSdpZZNA2fw,"Humans please be smart with those weapons 
They are very dangerous when in the wrong hands
Governments all over please please please do psychological exams on current and new gun owners 
And please make sure to do those more than just once on ALL humans even those in Government and Law Enforcement... ALL guns should be locked up in a gun safe humans. Do not ever leave those weapons hidden around your homes. What you all risk is not worth it. A life, that’s the risk. 
✌🏼🤎🎶",2021-05-17 01:06:32+00:00,humans please smart weapons dangerous wrong hands governments please please please psychological exams current new gun owners please make sure humans even government law enforcement guns locked gun safe humans ever leave weapons hidden around homes risk worth it life risk ✌🏼🤎🎶
176,💋Love Iver was here as herself💋,UCjSFItthnbmRjSdpZZNA2fw,"All victims of Gun Violence and 4My little Ariana Grande
WE🤎U ALL truly💌💋",2021-05-17 01:02:01+00:00,victims gun violence 4my little ariana grande we🤎u truly💌💋
177,Ralphtechcoffe Usa,UCDAk0rYuJ5_-Yg7IlSdRcIw,This video was uploaded on my bday ^_^,2021-05-15 18:26:25+00:00,video uploaded bday 
178,Martin Arias,UC9LFx3nLWzqGMTP7zJaljFw,I would like this song if it was positive love,2021-05-13 19:17:21+00:00,would like song positive love
179,ksa,UCNTdC82Gku6EWQQX0qK0pNQ,"This song reminds me so much of home. Everytime I listen to it, it feels like the warmth embrace of someone dear. A comfort and a sense of belongingness. To never go cold and alone. Few songs can project such profound feelings.",2021-05-11 19:16:13+00:00,song reminds much home everytime listen it feels like warmth embrace someone dear comfort sense belongingness never go cold alone songs project profound feelings
180,Aali,UCXsuzDtgnx5NbCI8wDGjfOg,came here because of that certain jaeyong au:(((,2021-05-10 08:37:53+00:00,came certain jaeyong au
181,Frederick Dalpay,UCRROcUHavjDjA4TT2ro_vdg,"One BEE....

One VOTE.",2021-05-06 12:34:45+00:00,one bee one vote
182,lester Besmonte,UCSmxkmDTgzIKrUUp8_acLEA,This song touching my brain,2021-05-05 06:22:38+00:00,song touching brain
183,Sunshine,UCKZR_5Ze09Iagao6qzzy-rA,Twenty year vow renewal song for me😍😍😍,2021-05-04 16:22:25+00:00,twenty year vow renewal song me😍😍😍
184,Pragya,UCF1I3gJgsKw8wOij5WF0lAA,I don't know why this song give such hozier vibes to me.,2021-05-03 21:49:17+00:00,know song give hozier vibes me
